sample	Population	Superpopulation	coding_one_allele_non_ref	coding_two_alleles_non_ref	wg_one_allele_non_ref	wg_two_alleles_non_ref
NA11892	CEU	EUR	182	135	240974	254957
HG02813	GWD	AFR	219	151	275529	281471
HG03049	GWD	AFR	221	149	278451	280919
NA10865	CEU	EUR	190	130	242162	254203
HG04158	BEB	SAS	192	128	243226	262862
HG04160	BEB	SAS	183	128	245341	260480
NA19658	MXL	AMR	214	140	251104	258933
NA19684	MXL	AMR	200	135	252813	253326
NA12889	CEU	EUR	186	134	243269	252500
NA19772	MXL	AMR	216	132	248284	261336
HG01805	CDX	EAS	176	148	226525	277798
HG00463	CHS	EAS	163	143	225978	274103
HG02285	PEL	AMR	160	142	228564	272441
NA19732	MXL	AMR	142	167	208438	284485
HG01951	PEL	AMR	167	145	212130	282195
HG01463	CLM	AMR	186	135	262349	259636
NA19787	MXL	AMR	202	144	242351	265824
HG00553	PUR	AMR	192	134	266231	253750
NA18966	JPT	EAS	180	154	227916	276202
HG00346	FIN	EUR	195	145	234901	261793
NA19721	MXL	AMR	195	139	247580	259857
HG02105	PEL	AMR	135	149	211712	278994
NA19735	MXL	AMR	159	153	224732	275080
NA12877	CEU	EUR	182	141	243213	254318
NA19682	MXL	AMR	202	142	245048	263098
HG02659	PJL	SAS	158	149	228003	269484
NA19755	MXL	AMR	182	141	240779	267723
NA19756	MXL	AMR	187	147	252010	260859
HG02304	PEL	AMR	174	146	235285	270195
HG01136	CLM	AMR	208	139	255748	255870
NA19786	MXL	AMR	208	149	246623	264270
HG00555	PUR	AMR	206	142	257397	255465
NA19719	MXL	AMR	210	133	251183	257165
NA19788	MXL	AMR	189	143	244990	266375
HG01390	CLM	AMR	201	147	268920	258290
HG01346	CLM	AMR	205	136	251265	256685
HG02657	PJL	SAS	152	147	246260	259637
NA19747	MXL	AMR	169	143	237687	265421
NA18557	CHB	EAS	166	154	224701	276233
NA19057	JPT	EAS	177	149	225112	277523
NA19007	JPT	EAS	153	156	227716	276454
HG01072	PUR	AMR	176	149	249314	256091
NA19718	MXL	AMR	190	142	242740	264327
HG02287	PEL	AMR	171	131	225942	270617
NA19746	MXL	AMR	185	150	237846	268666
NA18961	JPT	EAS	185	147	226040	277552
HG01977	PEL	AMR	163	156	223623	272692
HG01462	CLM	AMR	192	142	270323	259294
HG01488	CLM	AMR	185	136	263711	254419
HG00151	GBR	EUR	181	147	244083	259639
HG01344	CLM	AMR	198	142	244368	260863
NA19757	MXL	AMR	203	131	242760	265962
NA19731	MXL	AMR	170	155	213278	280984
NA20274	ASW	AFR	197	139	280718	256883
NA19796	MXL	AMR	193	132	249448	260531
HG00353	FIN	EUR	188	144	243940	257880
HG01927	PEL	AMR	145	168	215406	278674
HG01138	CLM	AMR	208	134	250150	256093
NA18595	CHB	EAS	173	149	225284	278146
HG02260	PEL	AMR	149	158	222549	274744
NA19686	MXL	AMR	190	144	249902	257463
NA19722	MXL	AMR	209	126	249345	262022
NA19784	MXL	AMR	198	150	246060	260712
NA19720	MXL	AMR	206	132	246450	263282
HG01067	PUR	AMR	202	130	252637	254753
NA18528	CHB	EAS	177	140	229625	275802
NA19716	MXL	AMR	181	148	248940	264660
HG00465	CHS	EAS	175	145	228714	273364
HG01161	PUR	AMR	182	145	261634	255215
HG02187	CDX	EAS	192	142	228608	276582
HG00118	GBR	EUR	171	145	244333	259270
HG01440	CLM	AMR	194	122	262351	257756
NA18534	CHB	EAS	189	152	227286	278527
HG03654	PJL	SAS	182	147	246420	258662
HG03476	MSL	AFR	215	160	282143	288754
NA21111	GIH	SAS	206	141	241543	265868
HG03653	PJL	SAS	194	144	246947	260856
HG03767	PJL	SAS	178	121	244522	258973
HG03902	BEB	SAS	184	143	246813	259962
HG03750	STU	SAS	184	134	244470	263034
HG04219	ITU	SAS	172	150	244297	263490
HG04020	ITU	SAS	181	141	241724	264354
HG02778	PJL	SAS	181	132	241619	263652
NA21086	GIH	SAS	194	134	243941	261943
NA20911	GIH	SAS	205	129	245438	261869
HG02009	ACB	AFR	213	159	284208	275806
HG04189	BEB	SAS	191	140	246058	261994
NA12812	CEU	EUR	206	126	243172	253815
